CompanyName,Website,Industry,HQ,Country,Description,CompanySize,DateVictimized,NumViews (of threat),RansomDataSize,RansomDataType,RansomwareGroup
ASIC SOLUCIONES,http://https//asicamericas.com/,IT Services ,Bogota,Columbia,"ASIC S.A. is the leader in hardware, software and network marketing and integration solutions. ASIC ENGINEERING S.A.",,"JUL 4, 2023",245275,0,['unknown'],Qilin
DAIWA HOUSE INDUSTRY CO.,http://medexs.com/,Architecture and Planning,Rhenen,Netherland,,,"JUN 22, 2023",251230,734,"['Financial Data', 'Legal Documents']",Qilin
PRINTMARKSOLUTION,http://printmarksolution.com/,Media,"Valencia, CA",Venezuela,"At PrintMark, we never cut corners! From great customer service to our state-of-the-art facility, you can expect a job done right. We go the extra mile to deliver high quality, impactful print communications that are on time, on budget and personalized to match your brandâs look and feel. See what PrintMark can do for you and join other leading companies who trust us to deliver a top of the line printing experience.",2-10 employees,"JUN 9, 2023",246816,19,"['Financial Data', 'Customer and Client Data', 'Legal Documents']",Qilin
IECM COMPANY LIMITED,http://https//www.iecm.co.th,Construction,"Bangkok, Bangkok",Thailand,,,"JUN 9, 2023",249039,9,"['Legal Documents', 'Databases']",Qilin
DEL BONO HOTEL,http://https//delbonohotels.com,Hospitality,"San Juan, San Juan",Argentina,"Contamos con dos instalaciones Del Bono Park y del Bono Beach.

Del Bono Park Hotel Spa & Casino  âââââ 
Se encuentra ubicado en San Juan Capital a 10â del centro comercial de la ciudad y 20â del aeropuerto, es ideal para los viajeros tanto de negocios como placer. El hotel cuenta con un casino, dos restaurantes, salones para eventos, piscina exterior y spa.
Ubicado estratÃ©gicamente junto a Avenida CircunvalaciÃ³n, lo que permite tener un acceso fÃ¡cil y rÃ¡pido desde cualquier punto de la ciudad. 
Nuestras habitaciones cuentan con hidromasaje, televisores de LCD, minibar, control de climatizaciÃ³n individual, telÃ©fono, secador de cabello y caja de seguridad.
Puede disfrutar de nuestro Restaurante La Cava, un lugar ideal para desayunar y almorzar con especialidad en cocina moderna regional y selecciÃ³n de vinos. Por las noches en De MoÃ±o Rojo Grill & Bar se encontrara con la mejor coctelerÃ­a y carnes grilladas de la ciudad, acompaÃ±ado de una excelente ambientaciÃ³n.
Para culminar su dÃ­a de trabajo con un momento de relax, nuestro Spa cuenta con sauna seco, ducha escocesa, baÃ±o turco, hidromasaje, gimnasio y gabinetes especiales para masajes y tratamientos faciales.
El establecimiento cuenta con piscina al aire libre, jardÃ­n, estacionamiento cubierto y conexiÃ³n wifi. 
Por Ãºltimo una completa variedad de salones de usos mÃºltiples.

Del Bono Beach Complejo BahÃ­a, âââ 
Un verdadero oasis a tan solo 20kms de San Juan Capital. 
El complejo cuenta con 26 unidades hoteleras con capacidades variadas (dobles, cuÃ¡druples y sÃ©xtuples). Inmersas un imponente paisaje donde se conjugan espacios verdes y montaÃ±as a la orilla del Lago de UllÃºm.
Todas las unidades se encuentran adecuadamente equipadas con cocina, heladera, microondas, pava elÃ©ctrica, set bÃ¡sico de vajilla, TV  (posee servicio de DIRECTV), climatizaciÃ³n y parrillero.
A su vez, las instalaciones de la propiedad cuentan con cocina central y 2 salones de usos mÃºltiples.",201-500 employees,"JUN 9, 2023",233293,67,['Customer and Client Data'],Qilin
ASZ GMBH & CO,http://asz-gmbh.de/,Healthcare,"Bielefeld, North Rhine-Westphalia",Deutschland,"| VISION | 

We want to make occupational safety understandable and transparent - for companies, for employees, for everyone! 


| VALUES | 

As a team-oriented company, it is important to us to be familiar, reliable and fair. In doing so, we put appreciative cooperation and respectful interaction first. With our professional corporate culture, we create long-term solutions. 


| SOLUTIONS | 

Our goal is to maintain and promote the health of employees. We support the area of occupational safety, train employees in regular seminars and create a sustainable feel-good atmosphere with the introduction of a company health management system. 


| CAREERS | 

Our teams are happy to welcome new members with a commitment to advancing safety and health awareness in companies. No matter if you are a routine perfomer or a free-spirited pioneer! 


_____ 
ASZ GmbH & Co. KG 
Meisterweg 6 
59229 Ahlen 
E-Mail: info@ASZ-GmbH.de

Translated with www.DeepL.com/Translator (free version)",51-200 employees,"JUN 8, 2023",213101,116,"['Financial Data', 'Legal Documents', 'Databases']",Qilin
"CLARITY WATER TECHNOLOGIES, LLC",http://https//claritywatertech.com,Manufacturing,New York,United States,"Clarity Water Technologies specializes in comprehensive industrial and commercial water treatment that includes expert consulting and cutting-edge chemistry, as well as a full-service team to support your facility needs.  Whatever your facilityâs heating, cooling, potable or process application may be, our experts will have a water treatment solution for you! 

Our expertise is second-to-none in boiler water treatment, cooling water treatment, legionella prevention and remediation, pasteurizers, retorts, wastewater, and much more.  Plus, our service team members are skilled in mechanical cleaning and maintenance services, including cooling tower cleaning.

Our expertly-designed programs will save you money by reducing energy usage, extending the life of your capital equipment, and minimizing unscheduled down time.  We guarantee that we can design a program that will save more money than it will cost by optimizing energy usage.  The energy efficiency will support your facilityâs green initiatives and even reduce your carbon footprint.

With degreed engineers and licensed consultants managing all customer accounts, our experience and expertise make us the best problem solvers in the water treatment industry. We are a dedicated, dependable partner whose professionalism and flexibility sets us apart. Our safe, efficient programs and comprehensive services means you spend less time thinking about water treatment and dealing with its associated problems.

Contact us today to get a free survey of your facility.  Weâll look for ways to make your system more efficient, safer, and greener â and save you money!",,"JUN 7, 2023",219833,83,['Legal Documents'],Qilin
AWM GLOBAL ADVISORS,http://https//awmga.com/,Financial Services,California,United States,"AWM Global Advisors is an independent, fee based, Registered Investment Advisor,  located  in San Diego, California.
AWM  is dedicated to providing comprehensive  wealth management solutions and portfolio management services to high net worth investors  and businesses.  It is our goal  to provide each client  with  world-class, customized, service catered to their unique financial situation. 
With over 60 years of combined experience, the members of AWM  have endeavored to create a  traditional private banking  type culture where the client is the priority. Our  advice is guided by a disciplined,  risk management approach, based on our global perspective and our  top-down,  macroeconomic trends analysis. We believe our independence allows us the freedom and objectivity to select the investment products and services that  are most beneficial for our clients.",,"JUN 7, 2023",206104,10,"['PII', 'Customer and Client Data', 'Employee and HR data']",Qilin
ASCENTIA GROUP PTY LTD,http://https//ascentia.us,Real Estate,Colorado,United States,"Ascentia are committed to an integrated approach to safety, health, environment and quality across all of our operations ",2-10 employees,"JUN 4, 2023",210227,137,['Utility and Infrastructure Data'],Qilin
"CONLEY & WIRICK, P.A.",http://https//conleywirick.com,Legal Services,"Bath, Maine",United States,"Conley & Wirick, P.A. has served the communities of Bath and Midcoast Maine for more than forty years, and today our attorneys are still committed to serving the people of our community and solving their problems. We pride ourselves on serving as compassionate guides through some of the most stressful times in our clients lives while aggressively advocating for their interests. Our goal is to make sure that our clients, our neighbors, are taken care of so they can get help while not letting their legal problems consume their lives. Anywhere from Portland, to Augusta, to Rockland, the attorneys of Conley & Wirick are here to help the members of our Maine communities. ",2-10 employees,"JUN 4, 2023",207499,59,"['PII', 'Customer and Client Data']",Qilin
OPPIDA ESTATES LIMITED,http://https//oppida.com/,Real Estate,London,United Kingdom,"Oppida Estates Ltd is a commercial real estate company based out of Bermondsey-London, United Kingdom.",2-10 employees,"MAY 22, 2023",211889,16,"['PII', 'Customer and Client Data', 'Databases']",Qilin
SMDEA,http://https//smdea09.fr/,Manufacturing,CHAMPS SUR MARNE,France,,,"MAY 22, 2023",192483,5,['Legal Documents'],Qilin
KANNANGARA THOMSON,http://https//www.ktlaw.co.nz/,Legal Services,"Christchurch, Canterbury",New Zealand / Aotearoa,"Embracing the cultural diversity and unique make-up of the region, KTLaw Limited t/a Kannangara Thomson is committed to delivering quality legal services to clients throughout Christchurch and the wider Canterbury area.

Highly qualified and skilled in a broad array of specialist aspects within the law, the team at Kannangara Thomson draw on life experiences gained from all corners of the globe, with their unique personal histories forming a rich tapestry of wisdom, intelligence and practical thinking.

Down-to-earth and passionate about the people of Christchurch, Kannangara Thomsonâs legal experts and support staff offer a service which revolves around the key principles of trust, integrity and transparency. When thoughtful planning, sound advice, and peace of mind are important, Kannangara Thomson is here to help.

We offer the following services:

-Conveyancing
-Family Trusts and Risk Structures
-Corporate and Commercial Law
-Elder Law
-Wills and Estates
-Immigration
-Employment Law
-Mental Health
-Insurance Law
-Family Law
-Relationship Property
-Residential Subdivisions
-Civil Litigation
-Licensing and Franchises
-Mediation

Our staff are not only professionals in these areas, but we are lucky enough to have 8 lawyers who speak a variety of languages to assist our clients. From Cantonese to Korean, we can speak your language! 

www.ktlaw.co.nz",11-50 employees,"MAY 19, 2023",180738,68,"['Customer and Client Data', 'Employee and HR data']",Qilin
MAIER SANITÃR-TECHNIK GMBH,http://https//www.maier-sanitaer.de,Construction,Waiblingen-Neustadt,Deutschland,,11-50 employees,"MAY 19, 2023",156282,33,"['Customer and Client Data', 'Employee and HR data']",Qilin
HECTOR MARTINEZ SOSA Y CIA SA,http://https//hmsosa.com,Financial Services,"VICENTE LOPEZ, Buenos Aires",Argentina,,,"MAY 19, 2023",156466,63,"['Customer and Client Data', 'Legal Documents']",Qilin
EYEDOCS OTTAWA,http://https//eyedocsottawa.com,Healthcare,"Ottawa, Ontario",Canada,"eyeDOCS offers full-service eye care to the residents of Ottawa and Eastern Ontario. Each of our five clinic locations are equipped with state of the art technologies and a knowledgeable eye care teams. Our mission is to provide you with the highest quality eye care.

The practice was expanded at Billings Bridge in 1972 and again in 1978 to accommodate new associates and their growing practice. In 1990, they decided to move down the road from Billings Bridge Plaza and built a new office that is still the home of the Ottawa Optometric Clinic at 1285 Kilborn Avenue. To keep up with ever-increasing patient volumes the office was renovated in 2008 to provide an inviting open-concept space which improves the office flow for all our patients, and allowed the creation of a seventh examination room.

Due to increasing patient volumes and growth within the Westboro community, the eyeDOCS Westboro moved and doubled its size in 2010 and can be found directly across the street from its previous home on Richmond Road in the heart of Westboro village.

There are currently over a dozen optometrists that are available at Eye Docs locations across Ottawa.

The partners are Drs. Shawn Charland, Eric DesGroseilliers, Serge Fauchon, and Nathan Stolch.

The associates include, Annie DesGroseilliers, Carolyn Fyffe, Kristel Jefferies, Melissa Ings, Elaina Kuang, Mana Sharma, Erin Condran, David Featherstone, and Nicole Prieur.",51-200 employees,"MAY 4, 2023",156128,12,"['Customer and Client Data', 'Healthcare Data']",Qilin
"GROPPER & NEJAT, PLLC",http://https//www.groppernejat.com/,Legal Services,"New York, New York",United States,"Gropper & Nejat, PLLC is a prestigious personal injury firm with offices in New York and New Jersey. For over 25 years, we have achieved notable verdicts and settlements on behalf of those who have suffered serious injury as a result of construction accidents, all types of motor vehicle accidents (car, truck, motorcycle, bicyclist, pedestrian), slip / trip and fall. We take pride in fighting to achieve the best results for those who have suffered fractures, surgeries, amputations, severe burns and other injuries.

Gropper & Nejat is proud to be recognized by the Phoenix Society for Burn Survivors as a Phoenix Luminary Partner.

Se habla espanol.",2-10 employees,"MAY 3, 2023",148709,16,['Customer and Client Data'],Qilin
SIIX CORPORATION,http://https//www.siix.co.jp,Manufacturing,Osaka,Japan,"SiiX Corporation is a distinctive global company which offers comprehensive Electronics Manufacturing Services (EMS) mainly to the electronics and automobile manufacturers, covering parts procurement , logistics and manufacturing.

SiiX is a Global Business Organizer where it links various resources all over the world to provide added value to its customers","5,001-10,000 employees","APR 30, 2023",126396,29,"['Legal Documents', 'Databases']",Qilin
SIPPEX,http://https//www.sippex.com,Healthcare,"Courzieu, RhÃ´ne",France,"SIPPEX, Medippex group, is specialized in the design, manufacture of medical bags and connectors.

The company provides flexible containers worldwide dedicated to infusion therapy, irrigation and dialysis solutions, culture media packagingâ¦

Highly integrated, SIPPEX controls over all technologies involved in the manufacturing chain, from the raw materials to the finished products : small volume parenteral (SVP) & large volume parenteral (LVP)

- Multilayer PP I.V. bag
- PVC bag
- PVC lay-flat tubing 
- PVC tube
- Twist-off connector
- Minitulipe spike port
- Injection port",51-200 employees,"APR 12, 2023",133386,171,"['Customer and Client Data', 'Legal Documents', 'Databases', 'Healthcare Data']",Qilin
ATTENT ZORG EN BEHANDELING,http://https//www.attentzorgenbehandeling.nl/,Healthcare,Steeg,Netherlands,"Samen met onze ruim 1.500 medewerkers en 500 vrijwilligers houden wij ons dagelijks bezig met het bieden van liefdevolle zorg en ondersteuning. Want dÃ¡t is waar ouderen bij ons op kunnen rekenen. En dat alles in een vertrouwde en gastvrije omgeving, zowel aan huis als binnen onze elf woonzorglocaties in de regioâs Doesburg, Dieren, Rheden, Velp, Arnhem en Elst.",,"MAR 1, 2023",181170,0,"['Customer and Client Data', 'Legal Documents', 'Databases']",Qilin
FSMSOLICITORS.CO.UK,http://https//fsmsolicitors.co.uk/,Legal Services,"Chippenham, Wiltshire",United Kingdom,"With a long established and well-earned reputation for excellence, we offer a full range of high-class legal services for both businesses and individuals.

Whether you need commercial advice or help with a personal or family matter, we make sure that you get the full benefit of our expertise and experience. Our lawyers are all specialists in their field, working supportively to achieve the best possible results. All our services are available at each of our six offices, making it easy and convenient for you to get the help and support that you need. We also make a point of giving advice that is constructive and as jargon-free as possible.

We are committed to the very best standards of practice and are very proud to hold Lexcel â the Law Societyâs recognition of the highest management and customer care standards.",51-200 employees,"FEB 24, 2023",179076,0,"['PII', 'Customer and Client Data', 'Legal Documents', 'Databases']",Qilin
GIGATRON.RS,http://https//gigatron.rs/,Retail,Belgrade,Serbia,"Leading and fast-growing retail chain in Serbia. More than 69 stores of Gigatron are strategically positioned in top locations in the largest cities in Serbia. Skillful and polite employees will help you choose your computer, piece of hardware, home appliances, consumer electronics, or any IT device. 

For more information, visit Gigatron website at www.gigatronshop.com, follow us on Facebook at www.facebook.com/GigatronFanPage, and follow us on Instagram at www.instagram.com/gigatron.rs.

Official Gigatron LinkedIn account","501-1,000 employees","FEB 20, 2023",184070,0,"['Customer and Client Data', 'Employee and HR data']",Qilin
EMTELCO,http://emtelco.com.co/,Business Services,Antioquia,Columbia,"Maximizamos el valor de cada contacto de las empresas con sus clientes, gestionando los procesos de relacionamiento a travÃ©s de canales tefÃ³nicos, virtuales y presenciales.

Prestamos servicios de: AdquisiciÃ³n y Ventas, Servicio al Cliente, GestiÃ³n de Cartera, Soporte TÃ©cnico, GestiÃ³n de Bases de datos, Cruce e inteligencia de Bases de Datos, DigitaciÃ³n, TabulaciÃ³n y SoluciÃ³n PQRÂ´s.",,"NOV 9, 2022",258117,0,"['Financial Data', 'Customer and Client Data', 'Legal Documents']",Qilin
LOJAS TORRA,http://lojastorra.com.br/,Retail,Sao Paulo,Brasil,"Aqui nas Lojas Torra, acreditamos que poder Ã© ser quem vocÃª Ã©! Por isso, trabalhamos para democratizar a moda com preÃ§o baixo em todo o Brasil.

Nossa trajetÃ³ria de sucesso, comeÃ§ou hÃ¡ 30 anos, priorizando produtos de qualidade e com valor acessÃ­vel. Desde entÃ£o, muita coisa evoluiu e, atualmente, jÃ¡ sÃ£o mais de 80 lojas espalhadas por todo o paÃ­s.

Para acompanhar todo esse crescimento tambÃ©m temos trÃªs centros de armazenamento e distribuiÃ§Ã£o, a #MR3Log, e o #TorraCartÃ£o, uma administradora de cartÃµes.

Somos mais de 5 mil Torralovers apaixonados por essa histÃ³ria e, mensalmente, 1 milhÃ£o de clientes comprovam que compromisso, responsabilidade e dinamismo sÃ£o valores fundamentais para atingir resultados e vencer desafios.

FaÃ§a parte da nossa passarela de talentos! #VemSerTorra","1,001-5,000 employees","NOV 9, 2022",256380,0,"['Customer and Client Data', 'Employee and HR data', 'Databases']",Qilin
CONTEMPO CARD,http://contempocard.com/,Manufacturing,"Providence, RI",United States,"Contempo is the worldâs leading packaging company for the world of fashion.  Since 1979, Contempo has been perfecting the brand image of the most prominent brands in jewelry and accessories.  Today, Contempo actively produces packaging for over 1000 manufacturers and retailers worldwide.  In 2014, Contempo launched a strategy division that helps existing and up-and-coming brands refine how their packaging affects the overall customer experience.  Contempo is headquartered in Providence, RI, with a fully-owned manufacturing facility in Shenzhen, China, and a sales office in Bangkok, Thailand and Hong Kong.  Learn more at www.contempocard.com.",51-200 employees,"NOV 9, 2022",256154,0,"['Customer and Client Data', 'Employee and HR data', 'Legal Documents']",Qilin
ROBERT BERNARD,http://robertbernard.com/,Manufacturing,Montreal,Canada,,,"NOV 9, 2022",250479,0,"['Customer and Client Data', 'Employee and HR data', 'Databases']",Qilin
DIALOG INFORMATION TECHNOLOGY,http://dialog.com.au/,IT Services ,"South Brisbane, Queensland",Australia,"Dialog Information Technology is one of Australia's leading technology services organisations trading nationally from offices in Brisbane, Sydney, Melbourne, Canberra, Perth, Darwin and Adelaide,

Established in 1979, Dialog has delivered innovative solutions to clients across all industries including all levels of government.

Dialog employs over 1,200 information technology specialists.

Dialogâs subsidiary companies include ICEMEDIA, one of Australiaâs leading and most innovative multimedia companies and AccessHQ, which employs over 300 professional testing specialists and serves major government and corporate clients in high value, long term business relationships. Catapult BI is Australia's leading business insights and data management consultancy.","1,001-5,000 employees","NOV 6, 2022",251452,0,"['Employee and HR data', 'Databases']",Qilin
ciot | stone & tile,ciot.com,Wholesale Building Materials,"Montréal, Québec",Canada,"Established in 1950 in Montreal, Ciot is a major importer and distributor of Natural & Engineered Stone Slabs, Ceramic Tiles, Artistic Mosaics, Engineered Hardwood and Plumbing accessories.

A top-tier supplier for both residential and commercial markets, Ciot offers a vast, impressive selection of high-quality, exclusive products at affordable prices. Ciot’s customers benefit from access to the best and the latest global products, skilled artisans who work with the industry’s top technology, and helpful experts to assist you in making the best selections for all construction and renovation projects of all scopes.


The company operates showrooms in Montreal, Quebec City, Brossard, Toronto, Vaughan, Mississauga, Detroit, Atlanta, and New York.

---

En affaires depuis 1950, Ciot est aujourd’hui l’un des plus grands détaillants et importateurs de marbre, de granit, d’ardoise, d’onyx, de carreaux de céramique, de mosaïque et d’accessoires d’eau. 

Bénéficiant d’une présence formidable dans les marchés résidentiels et commerciaux, le groupe Ciot offre une vaste sélection de produits exclusifs à des prix abordables. Ciot dessert également le marché des architectes et designers. Nos professionnels trouvent les solutions les mieux adaptés aux besoins, et ce peu importe l’envergure du projet. Des hôtels aux projets résidentiels, nos représentants possèdent les connaissances et l’expertise pour donner la touche personnalisée qui fera d’un projet une grande réussite.

La société possède des espaces de vente à Montréal, Québec, Brossard, Laval, Toronto, Vaughan, Mississauga, Détroit, New York.",201-500 employees,29/8/24 9:23,6242,1TB,['unknown'],RansomHub
nissan dubai,www.nissan-dubai.com,Retail,Dubai,United Arab Emirates,,11-50 employees,31/8/24 13:23,5820,50 GB,"['Databases', 'Customer and Client Data', 'PII', 'Employee and HR Data']",RansomHub
grant associates,grant-associates.uk.com,Architecture and Planning,"Bath, UK",United Kingdom,"Grant Associates is a pioneering international landscape architecture practice with offices in Bath, UK and Singapore, Asia.

Our work reconnects people with nature in insightful, delightful and distinctive ways whilst addressing the global challenges of urbanisation, the climate crisis and biodiversity extinction. 

Our design process is underpinned by a knowledge of human behaviour, nature and ecological science combined with innovative design technology. We bring original thinking, creative collaboration and are exploring what regenerative design and the circular economy means to landscape architecture. 

While we enjoy being playful and inventive, our approach isn’t just about experience and aesthetics. It’s about the creation of inspirational places and spaces that have purpose, a distinctive identity, feel good to be in, promote wellbeing and are part of a healthy, biodiverse ecosystem. 

Our varied portfolio includes ambitious large-scale, landmark projects through to small, perfectly formed local ventures. We work just as happily in urban and rural environments but we push and challenge ourselves every time, determined to remain at the forefront of change and relevance in the world of landscape architecture.",11-50 employees,30/8/24 19:56,6214,400GB,['unknown'],RansomHub
gruyeria,www.gruyeria.ch,Real Estate,Bulle,France,"SAVOIR-FAIRE MYTHIQUE, TRADITION INTEMPORELLE
Dans le monde entier GRUYERIA a réalisé et réalise des projets professionnels ou privés répondant aux plus hautes exigences (hôtels, banques, appartements, villas, chalets, résidences secondaires.…). Riche d’un savoir-faire exceptionnel, en mains de la même famille depuis plus d’un siècle, GRUYERIA réunit tous les métiers de la décoration d’intérieur et de l’artisanat pour façonner des univers qui créent la différence. L’agencement est aujourd’hui notre coeur de métier et la réputation de GRUYERIA a largement dépassé les frontières.

Imaginer l’agencement d’un espace non-conventionnel, créer un mobilier sur mesure et/ou entreprendre des travaux plus conséquents, GRUYERIA  est capable de diriger tous les corps de métier et de coordonner leur travail à celui de l’architecte. Ce n’est pas un hasard si les plus grands d’entre-eux font appel à nous…

GRUYERIA compte aujourd’hui environ 80 employés qui partagent une même philosophie : un goût de l’esthétisme ancré dans la tradition et le savoir-faire. ",51-200 employees,30/8/24 15:16,5783,80 GB,['unknown'],RansomHub
mvz für laboratoriumsmedizin,www.iph-bet.fr,Musicians,,,,2-10 employees,30/8/24 15:07,5682,678 GB,['Customer and Client Data'],RansomHub
mineduc - ministerio de educación - guatemala,www.mineduc.gob.gt,,,,MINEDUC - Ministerio de Educación - Guatemala is a company based out of Guatemala.,,30/8/24 14:45,5591,529 GB,['unknown'],RansomHub
swinburne university of technology,www.swinburne.edu,Higher Education,Melbourne,Australia,"Swinburne University of Technology is a world-class university creating social and economic impacts through science, technology and innovation. In 2022, Swinburne ranked in the top 250 global universities in the Academic Ranking of World Universities (ARWU), confirming its place in the top 1% of universities worldwide. Swinburne confirmed its place in the top 50 universities in the world under 50 years old, rising twelve places in the 2022 Times Higher Education (THE) Young University Rankings. 

We're a large and culturally diverse organisation with a desire to innovate and bring about positive change. Swinburne offers undergraduate and postgraduate courses, vocational education and research qualifications. We have three campuses located in the eastern suburbs of Melbourne — at Hawthorn, Croydon and Wantirna, as well as a fourth campus in Sarawak, Malaysia. The National Institute of Circus Arts is located in Prahran, Melbourne and we also offer a range of qualifications online through Swinburne Online and Open Universities Australia. In 2019, we unveiled new locations in Sydney and Vietnam and also opened an office in Nanjing, China – further connecting us to some of the fast-growing regions in the world.

Join the conversation, follow us on:
Facebook: https://www.facebook.com/swinburneuniversityoftechnology
Twitter: @Swinburne
Instagram: @Swinburne
TikTok: @SwinburneUniversity
YouTube: https://www.youtube.com/channel/UCzA9KPphNMJEK1J4gWebNQQ

Swinburne University of Technology: https://www.swinburne.edu.au/
Jobs at Swinburne: https://swinjobs.nga.net.au/cp/index.cfm?event=jobs.home

Swinburne University Sarawak, Malaysia campus: https://www.swinburne.edu.my/
For jobs at our Sarawak campus: https://www.swinburne.edu.my/hr/search-apply.php

CRICOS provider code: 00111D
Training Organisation Identifier (TOID): 3059
TEQSA PRV12148 Australian University","1,001-5,000 employees",30/8/24 14:41,5615,366 GB,['unknown'],RansomHub
rainier arms,rainierarms.com,Defense & Space,"Auburn, Washington",United States,"Rainier Arms was started by enthusiasts for enthusiasts. We specialize in high end AR15s/M16s, parts & accessories. ""If we won't use it, we won't sell it."" Founded in 2005, Rainierarms.com already has more than 6000 unique products, and growing. Our technical advisory team consists of enthusiasts, law enforcement, & military personnel that continue to make our offerings unique and desirable in the market place.",51-200 employees,26/8/24 14:32,6241,5GB,['unknown'],RansomHub
chwa,www.chwa.com.tw,Staffing and Recruiting,"GANTHIER, OUEST",Ayiti,"CHWA est une société de consulting spécialisé dans les domaines de la finance, de l'ingénierie, des NTIC et du tourisme exclusivement réservé au marché haïtien, qui a besoin de professionnels pour développer son économie. CHWA met l'accent sur la compétence, l'expérience, les connaissances du candidat peu importe son appartenance sociale dans la société haïtienne.

CHWA is a consulting company specialized in  finance, engineering, new technologies and tourism exclusively reserved to the haitian market that is in need of prfoesionnal individuals to help in the development of its economy. CHWA underlines the skills, the experience and the knowledge of its candidate regardless his or her social class in the haitian society.

CHWA se yon entrepriz kap chaché moun moun ki espécializé nan domèn finans, injenyè, teknologi, touris espesyalman pou maché ayisyen an ki bezwen pwofésyonèl pou dévlopé ékonomi li a. CHWA souliyé impotan konpetans, eksperyans, konésans kandida li yo nempot koté yo soti nan sosyete ayisyèn lan.",2-10 employees,27/8/24 20:34,6733,425GB,['unknown'],RansomHub
mineduc - ministerio de educación - guatemala,www.spie-tec.de,,,,MINEDUC - Ministerio de Educación - Guatemala is a company based out of Guatemala.,,26/8/24 12:56,7431,10GB,"['PII', 'Legal Documents']",RansomHub
prasarana malaysia berhad,prasarana.com.my,"Transportation, Logistics, Supply Chain and Storage",Kuala Lumpur,Malaysia,"About Prasarana Malaysia Berhad

Prasarana Malaysia Berhad (“Prasarana”) is a wholly-owned Government company established by the Ministry of Finance, set up to facilitate, undertake and expedite public infrastructure projects approved by the Government. Prasarana and its group of companies are asset-owners and operators of several public transport services, namely the LRT Ampang/ Sri Petaling and LRT Kelana Jaya lines, the KL Monorail system, as well as bus operations in Klang Valley, Penang and Kuantan. 

The operations of these public transport systems are under the purview of Prasarana’s subsidiaries Rapid Rail Sdn Bhd (Rapid Rail) and Rapid Bus Sdn Bhd (Rapid Bus) under the Rapid KL brand name. 

Rapid Rail are also operators of the two MRT lines – the Kajang Line and the Putrajaya Line. The company operates and maintains the urban rail services, covering 149 stations over a span of 205 km in total.

Rapid Bus operates in the Klang Valley, Penang, and Kuantan, operating under the brands Rapid KL, Rapid Penang, and Rapid Kuantan respectively. In addition to their regular bus services, the company also operates BRT in Bandar Sunway, and feeder buses that serve LRT and MRT stations.

Prasarana is also currently developing a third LRT system – the LRT Shah Alam Line – which is scheduled to commence revenue operations in the first quarter of 2025.","10,001+ employees",25/8/24 14:58,8215,316GB,['unknown'],RansomHub
swinburne university of technology,saudi arabia(general secretariat of the military service council),Higher Education,Melbourne,Australia,"Swinburne University of Technology is a world-class university creating social and economic impacts through science, technology and innovation. In 2022, Swinburne ranked in the top 250 global universities in the Academic Ranking of World Universities (ARWU), confirming its place in the top 1% of universities worldwide. Swinburne confirmed its place in the top 50 universities in the world under 50 years old, rising twelve places in the 2022 Times Higher Education (THE) Young University Rankings. 

We're a large and culturally diverse organisation with a desire to innovate and bring about positive change. Swinburne offers undergraduate and postgraduate courses, vocational education and research qualifications. We have three campuses located in the eastern suburbs of Melbourne — at Hawthorn, Croydon and Wantirna, as well as a fourth campus in Sarawak, Malaysia. The National Institute of Circus Arts is located in Prahran, Melbourne and we also offer a range of qualifications online through Swinburne Online and Open Universities Australia. In 2019, we unveiled new locations in Sydney and Vietnam and also opened an office in Nanjing, China – further connecting us to some of the fast-growing regions in the world.

Join the conversation, follow us on:
Facebook: https://www.facebook.com/swinburneuniversityoftechnology
Twitter: @Swinburne
Instagram: @Swinburne
TikTok: @SwinburneUniversity
YouTube: https://www.youtube.com/channel/UCzA9KPphNMJEK1J4gWebNQQ

Swinburne University of Technology: https://www.swinburne.edu.au/
Jobs at Swinburne: https://swinjobs.nga.net.au/cp/index.cfm?event=jobs.home

Swinburne University Sarawak, Malaysia campus: https://www.swinburne.edu.my/
For jobs at our Sarawak campus: https://www.swinburne.edu.my/hr/search-apply.php

CRICOS provider code: 00111D
Training Organisation Identifier (TOID): 3059
TEQSA PRV12148 Australian University","1,001-5,000 employees",22/8/24 8:11,10660,140GB,['unknown'],RansomHub
whittaker co,www.banhampoultry.co.uk,Facilities Services,"New Castle, PA",United States,"Consistently Cleaner Carpet. Smart Service.™ Whittaker is committed to ensuring carpet adds beauty to each facility as its designer, manufacturer and installer intended. Our low-moisture carpet cleaning machines – including our exclusive three-TRIO – makes carpet care as simple as possible.",11-50 employees,21/8/24 12:03,9931,50Gb,"['Legal Documents', 'Employee and HR Data']",RansomHub
