Company Name,Description,Headquarters,Country,Website,Industry,Company Size,Specialities,Company Type,Followers
Better Systems,"Founded in 1987, Better Systems Group has offered better clinic management software for over 25 years. 

Building on a strong foundation in the Chiropractic market, we also offer our software to Physiotherapists, Naturopaths, Massage Therapists, Psychologists, mixed practices and other clinic environments. Our main product, The Better System, consolidates appointment scheduling, billing/financials, patient demographics, comprehensive reporting and more into one convenient and easy-to-use package. New for 2015, our Better Notes add-on brings the same legendary usability to the EHR/EMR segment including intuitive touchscreen and tablet functionality! 

Isn't it time you discovered a better way, with Better Systems?",Toronto,Canada,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ebettersystems%2Eca&urlhash=riXC&trk=about_website,Software Development,1 employee,"Appointment Scheduling Software, Clinic Management Software, Patient Management Software, and Practice Management Software",Privately Held,null
MicroPort,"MicroPort® is a premier medical solutions provider, founded on the belief that every person has the right to high-quality medical treatment. 

For over 25 years, we have been breaking barriers and accelerating access to life-changing technologies. Our commitment to innovation is powered by deep collaboration with the medical community, driving us to develop solutions that consistently put patients first.

We believe that it’s the little details that make life special. That’s why we pay the utmost attention to every small detail of our medical technologies, ensuring that millions of lives everywhere can make every little moment a special one. 

Today, we operate in over 100 countries and 20,000 hospitals, providing advanced solutions for more than 200 diseases across 12 key therapeutic areas, impacting millions of lives globally. 

With significant R&D investments and a dedicated, skilled global workforce, MicroPort® is shaping the future of healthcare We are steadfast in our mission to ensure better and longer lives for patients worldwide.

Discover how we're making a difference at www.microport.com.

Headquartered in Shanghai, with subsidiaries based around the world, we have a global footprint of R&D and manufacturing facilities across China, United States, France, Italy and Dominican Republic. Today, through the lens of a global organization of enterprises sharing resources and expertise with an agile independence, we see an exciting path forward. One that addresses the most challenging healthcare issues, while allowing us to explore ways to impact even more lives every second.

Read our community guidelines: https://microport.com/about-us/corporate-social-responsibility/microport-social-media-terms-of-use",null,null,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Emicroport%2Ecom&urlhash=lJcd&trk=about_website,,,,,null
ASIC SOLUCIONES,null,null,null,null,null,null,null,null,null
"DaiwaHouse Industry Co., ltd",null,null,null,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Edaiwahouse%2Eco%2Ejp%2F&urlhash=NuiH&trk=about_website,Architecture and Planning,null,null,null,null
PrintMark,"At PrintMark, we never cut corners! From great customer service to our state-of-the-art facility, you can expect a job done right. We go the extra mile to deliver high quality, impactful print communications that are on time, on budget and personalized to match your brand’s look and feel. See what PrintMark can do for you and join other leading companies who trust us to deliver a top of the line printing experience.","Valencia, CA",Venezuela,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eprintmarksolutions%2Ecom&urlhash=DJuO&trk=about_website,Printing Services,2-10 employees,"Packaging, Printing, Promotional Products, Collateral Management, Company Branded Items, Uniforms, Direct Mail, Signage, Online Stores, and Fulfillment",Privately Held,25
iECM Co. Ltd,null,null,null,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fiecm%2Eco%2Eth&urlhash=veAl&trk=about_website,Construction,null,null,null,null
Del Bono Hotels,"Contamos con dos instalaciones Del Bono Park y del Bono Beach.

Del Bono Park Hotel Spa & Casino  ☆☆☆☆☆ 
Se encuentra ubicado en San Juan Capital a 10” del centro comercial de la ciudad y 20” del aeropuerto, es ideal para los viajeros tanto de negocios como placer. El hotel cuenta con un casino, dos restaurantes, salones para eventos, piscina exterior y spa.
Ubicado estratégicamente junto a Avenida Circunvalación, lo que permite tener un acceso fácil y rápido desde cualquier punto de la ciudad. 
Nuestras habitaciones cuentan con hidromasaje, televisores de LCD, minibar, control de climatización individual, teléfono, secador de cabello y caja de seguridad.
Puede disfrutar de nuestro Restaurante La Cava, un lugar ideal para desayunar y almorzar con especialidad en cocina moderna regional y selección de vinos. Por las noches en De Moño Rojo Grill & Bar se encontrara con la mejor coctelería y carnes grilladas de la ciudad, acompañado de una excelente ambientación.
Para culminar su día de trabajo con un momento de relax, nuestro Spa cuenta con sauna seco, ducha escocesa, baño turco, hidromasaje, gimnasio y gabinetes especiales para masajes y tratamientos faciales.
El establecimiento cuenta con piscina al aire libre, jardín, estacionamiento cubierto y conexión wifi. 
Por último una completa variedad de salones de usos múltiples.

Del Bono Beach Complejo Bahía, ☆☆☆ 
Un verdadero oasis a tan solo 20kms de San Juan Capital. 
El complejo cuenta con 26 unidades hoteleras con capacidades variadas (dobles, cuádruples y séxtuples). Inmersas un imponente paisaje donde se conjugan espacios verdes y montañas a la orilla del Lago de Ullúm.
Todas las unidades se encuentran adecuadamente equipadas con cocina, heladera, microondas, pava eléctrica, set básico de vajilla, TV  (posee servicio de DIRECTV), climatización y parrillero.
A su vez, las instalaciones de la propiedad cuentan con cocina central y 2 salones de usos múltiples.","San Juan, San Juan",Argentina,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Edelbonohotels%2Ecom&urlhash=gGig&trk=about_website,Hospitality,201-500 employees,null,Privately Held,571
ASZ GmbH & Co. KG,"| VISION | 

We want to make occupational safety understandable and transparent - for companies, for employees, for everyone! 


| VALUES | 

As a team-oriented company, it is important to us to be familiar, reliable and fair. In doing so, we put appreciative cooperation and respectful interaction first. With our professional corporate culture, we create long-term solutions. 


| SOLUTIONS | 

Our goal is to maintain and promote the health of employees. We support the area of occupational safety, train employees in regular seminars and create a sustainable feel-good atmosphere with the introduction of a company health management system. 


| CAREERS | 

Our teams are happy to welcome new members with a commitment to advancing safety and health awareness in companies. No matter if you are a routine perfomer or a free-spirited pioneer! 


_____ 
ASZ GmbH & Co. KG 
Meisterweg 6 
59229 Ahlen 
E-Mail: info@ASZ-GmbH.de

Translated with www.DeepL.com/Translator (free version)","Bielefeld, North Rhine-Westphalia",Deutschland,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Easz-gmbh%2Ede&urlhash=8LL5&trk=about_website,Hospitals and Health Care,51-200 employees,"Arbeitsschutz, Arbeitsmedizin, Arbeitssicherheit, Gesundheitsmanagement, Brandschutz, Betriebliches Gesundheitsmanagement, Gefährdungsbeurteilung, Reisemedizin, Betriebliches Eingliederungsmanagement, Gesundheitsvorsorge, Unterweisungen, Begehungen, and Digitalisierung",Privately Held,361
"Clarity Water Technologies, LLC","Clarity Water Technologies specializes in comprehensive industrial and commercial water treatment that includes expert consulting and cutting-edge chemistry, as well as a full-service team to support your facility needs.  Whatever your facility’s heating, cooling, potable or process application may be, our experts will have a water treatment solution for you! 

Our expertise is second-to-none in boiler water treatment, cooling water treatment, legionella prevention and remediation, pasteurizers, retorts, wastewater, and much more.  Plus, our service team members are skilled in mechanical cleaning and maintenance services, including cooling tower cleaning.

Our expertly-designed programs will save you money by reducing energy usage, extending the life of your capital equipment, and minimizing unscheduled down time.  We guarantee that we can design a program that will save more money than it will cost by optimizing energy usage.  The energy efficiency will support your facility’s green initiatives and even reduce your carbon footprint.

With degreed engineers and licensed consultants managing all customer accounts, our experience and expertise make us the best problem solvers in the water treatment industry. We are a dedicated, dependable partner whose professionalism and flexibility sets us apart. Our safe, efficient programs and comprehensive services means you spend less time thinking about water treatment and dealing with its associated problems.

Contact us today to get a free survey of your facility.  We’ll look for ways to make your system more efficient, safer, and greener – and save you money!",null,null,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2EClarityWaterTech%2Ecom&urlhash=OadT&trk=about_website,,,,,439
AWM Global Advisors,"AWM Global Advisors is an independent, fee based, Registered Investment Advisor,  located  in San Diego, California.
AWM  is dedicated to providing comprehensive  wealth management solutions and portfolio management services to high net worth investors  and businesses.  It is our goal  to provide each client  with  world-class, customized, service catered to their unique financial situation. 
With over 60 years of combined experience, the members of AWM  have endeavored to create a  traditional private banking  type culture where the client is the priority. Our  advice is guided by a disciplined,  risk management approach, based on our global perspective and our  top-down,  macroeconomic trends analysis. We believe our independence allows us the freedom and objectivity to select the investment products and services that  are most beneficial for our clients.",null,null,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eawmga%2Ecom&urlhash=K9EM&trk=about_website,,,,,"1,416"
Ascentia Group Marketing Pte Ltd,null,null,null,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fascentiagroup%2Ecom&urlhash=VKxK&trk=about_website,Advertising Services,2-10 employees,null,null,null
"CONLEY & WIRICK, P.A.","Conley & Wirick, P.A. has served the communities of Bath and Midcoast Maine for more than forty years, and today our attorneys are still committed to serving the people of our community and solving their problems. We pride ourselves on serving as compassionate guides through some of the most stressful times in our clients lives while aggressively advocating for their interests. Our goal is to make sure that our clients, our neighbors, are taken care of so they can get help while not letting their legal problems consume their lives. Anywhere from Portland, to Augusta, to Rockland, the attorneys of Conley & Wirick are here to help the members of our Maine communities. ","Bath, Maine",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Econleywirick%2Ecom&urlhash=R_Xe&trk=about_website,Law Practice,2-10 employees,"Family Law, Personal Injury, Real Estate, and Probate / Wills",Self-Owned,17
Oppida Estates Ltd,"Oppida Estates Ltd is a commercial real estate company based out of Bermondsey-London, United Kingdom.",London,United Kingdom,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eoppida%2Ecom&urlhash=paU-&trk=about_website,Real Estate,2-10 employees,null,Privately Held,null
SMDEA,null,CHAMPS SUR MARNE,France,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fsmdea09%2Efr&urlhash=AFvS&trk=about_website,"Appliances, Electrical, and Electronics Manufacturing",null,null,null,null
KTLaw Limited t/a Kannangara Thomson,"Embracing the cultural diversity and unique make-up of the region, KTLaw Limited t/a Kannangara Thomson is committed to delivering quality legal services to clients throughout Christchurch and the wider Canterbury area.

Highly qualified and skilled in a broad array of specialist aspects within the law, the team at Kannangara Thomson draw on life experiences gained from all corners of the globe, with their unique personal histories forming a rich tapestry of wisdom, intelligence and practical thinking.

Down-to-earth and passionate about the people of Christchurch, Kannangara Thomson’s legal experts and support staff offer a service which revolves around the key principles of trust, integrity and transparency. When thoughtful planning, sound advice, and peace of mind are important, Kannangara Thomson is here to help.

We offer the following services:

-Conveyancing
-Family Trusts and Risk Structures
-Corporate and Commercial Law
-Elder Law
-Wills and Estates
-Immigration
-Employment Law
-Mental Health
-Insurance Law
-Family Law
-Relationship Property
-Residential Subdivisions
-Civil Litigation
-Licensing and Franchises
-Mediation

Our staff are not only professionals in these areas, but we are lucky enough to have 8 lawyers who speak a variety of languages to assist our clients. From Cantonese to Korean, we can speak your language! 

www.ktlaw.co.nz","Christchurch, Canterbury",New Zealand / Aotearoa,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ektlaw%2Eco%2Enz&urlhash=AAEF&trk=about_website,Legal Services,11-50 employees,"Property Law, Commercial Law, Estate Practice, Senior Law, Asset Protection, Relationship Law, Company Law, Estate Planning, Property Investment Law, Commercial Leasing, Subdivisions, Business Sales and Purchases, Commercial Property, and Protection of Personal & Property Rights Law",Partnership,110
Maier bad & heizung Haustechnik GmbH,null,Waiblingen-Neustadt,Deutschland,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fbad-heizung-maier%2Ede&urlhash=voWO&trk=about_website,Construction,11-50 employees,null,null,null
HECTOR MARTINEZ SOSA Y CIA SA,null,"VICENTE LOPEZ, Buenos Aires",Argentina,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ehmsosa%2Ecom%2Ear&urlhash=yuP_&trk=about_website,Insurance,null,null,null,41
eyeDOCS Ottawa,"eyeDOCS offers full-service eye care to the residents of Ottawa and Eastern Ontario. Each of our five clinic locations are equipped with state of the art technologies and a knowledgeable eye care teams. Our mission is to provide you with the highest quality eye care.

The practice was expanded at Billings Bridge in 1972 and again in 1978 to accommodate new associates and their growing practice. In 1990, they decided to move down the road from Billings Bridge Plaza and built a new office that is still the home of the Ottawa Optometric Clinic at 1285 Kilborn Avenue. To keep up with ever-increasing patient volumes the office was renovated in 2008 to provide an inviting open-concept space which improves the office flow for all our patients, and allowed the creation of a seventh examination room.

Due to increasing patient volumes and growth within the Westboro community, the eyeDOCS Westboro moved and doubled its size in 2010 and can be found directly across the street from its previous home on Richmond Road in the heart of Westboro village.

There are currently over a dozen optometrists that are available at Eye Docs locations across Ottawa.

The partners are Drs. Shawn Charland, Eric DesGroseilliers, Serge Fauchon, and Nathan Stolch.

The associates include, Annie DesGroseilliers, Carolyn Fyffe, Kristel Jefferies, Melissa Ings, Elaina Kuang, Mana Sharma, Erin Condran, David Featherstone, and Nicole Prieur.","Ottawa, Ontario",Canada,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eeyedocsottawa%2Ecom&urlhash=p9lk&trk=about_website,Hospitals and Health Care,51-200 employees,"Comprehensive Eye Examinations, Binocular Vision Therapy, Orthokeratology, Dry Eye Treatment, Night Vision Testing, Contact Lense Fittings, and Eyewear Adjustments",Partnership,171
"Gropper & Nejat, PLLC","Gropper & Nejat, PLLC is a prestigious personal injury firm with offices in New York and New Jersey. For over 25 years, we have achieved notable verdicts and settlements on behalf of those who have suffered serious injury as a result of construction accidents, all types of motor vehicle accidents (car, truck, motorcycle, bicyclist, pedestrian), slip / trip and fall. We take pride in fighting to achieve the best results for those who have suffered fractures, surgeries, amputations, severe burns and other injuries.

Gropper & Nejat is proud to be recognized by the Phoenix Society for Burn Survivors as a Phoenix Luminary Partner.

Se habla espanol.","New York, New York",United States,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Egroppernejat%2Ecom%2F&urlhash=IKq4&trk=about_website,Law Practice,2-10 employees,"Personal Injury, Construction Accidents, Motor Vehicle Accidents, Burn Accidents, Car & Truck Accidents, Motorcycle Accidents, Premises Accidents, Trial Attorney, and Litigation",Privately Held,5
SiiX Corporation,"SiiX Corporation is a distinctive global company which offers comprehensive Electronics Manufacturing Services (EMS) mainly to the electronics and automobile manufacturers, covering parts procurement , logistics and manufacturing.

SiiX is a Global Business Organizer where it links various resources all over the world to provide added value to its customers",Osaka,日本,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Esiix%2Eco%2Ejp&urlhash=RfPa&trk=about_website,"Appliances, Electrical, and Electronics Manufacturing","5,001-10,000 employees",EMS ( Electronics Manufacturing Services) and Trading,Public Company,null
MEDIPPEX : SIPPEX Medical bags,"SIPPEX, Medippex group, is specialized in the design, manufacture of medical bags and connectors.

The company provides flexible containers worldwide dedicated to infusion therapy, irrigation and dialysis solutions, culture media packaging…

Highly integrated, SIPPEX controls over all technologies involved in the manufacturing chain, from the raw materials to the finished products : small volume parenteral (SVP) & large volume parenteral (LVP)

- Multilayer PP I.V. bag
- PVC bag
- PVC lay-flat tubing 
- PVC tube
- Twist-off connector
- Minitulipe spike port
- Injection port","Courzieu, Rhône",France,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Esippex%2Ecom&urlhash=J-Cl&trk=about_website,Pharmaceutical Manufacturing,51-200 employees,"IV bags, connectors, pharmaceutical, infusion, intraveinous, dialysis, poche de perfusion, twist off, minitulipe spike port, injection port, medical bags, parenteral solutions, Original equipment manufacturer, OEM, and infusion bags",Privately Held,681
Attent Zorg en Behandeling,"Samen met onze ruim 1.500 medewerkers en 500 vrijwilligers houden wij ons dagelijks bezig met het bieden van liefdevolle zorg en ondersteuning. Want dát is waar ouderen bij ons op kunnen rekenen. En dat alles in een vertrouwde en gastvrije omgeving, zowel aan huis als binnen onze elf woonzorglocaties in de regio’s Doesburg, Dieren, Rheden, Velp, Arnhem en Elst.",null,null,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Ewerkenbijattentzorgenbehandeling%2Enl&urlhash=Nf69&trk=about_website,,,,,null
Forrester Sylvester Mackett Solicitors,"With a long established and well-earned reputation for excellence, we offer a full range of high-class legal services for both businesses and individuals.

Whether you need commercial advice or help with a personal or family matter, we make sure that you get the full benefit of our expertise and experience. Our lawyers are all specialists in their field, working supportively to achieve the best possible results. All our services are available at each of our six offices, making it easy and convenient for you to get the help and support that you need. We also make a point of giving advice that is constructive and as jargon-free as possible.

We are committed to the very best standards of practice and are very proud to hold Lexcel – the Law Society’s recognition of the highest management and customer care standards.","Chippenham, Wiltshire",United Kingdom,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Efsmsolicitors%2Eco%2Euk&urlhash=6D3j&trk=about_website,Law Practice,51-200 employees,"Business Start-ups and Company Formation, Buying and Selling Businesses and Companies, Dental Practice Law, Commercial Contracts, Partnerships, Shareholders' Agreements, Business Terms and Conditions, and Employee Shareholder Agreements",Partnership,424
Gigatron,"Leading and fast-growing retail chain in Serbia. More than 69 stores of Gigatron are strategically positioned in top locations in the largest cities in Serbia. Skillful and polite employees will help you choose your computer, piece of hardware, home appliances, consumer electronics, or any IT device. 

For more information, visit Gigatron website at www.gigatronshop.com, follow us on Facebook at www.facebook.com/GigatronFanPage, and follow us on Instagram at www.instagram.com/gigatron.rs.

Official Gigatron LinkedIn account",Belgrade,Србија,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fgigatronshop%2Ecom&urlhash=paFI&trk=about_website,Retail,"501-1,000 employees","Computers, Hardware, IT equipment, Mobile devices, Home entertainment, IT Services, Consumer electronics, and Home appliances",Privately Held,null
EMTELCO S.A.,"Maximizamos el valor de cada contacto de las empresas con sus clientes, gestionando los procesos de relacionamiento a través de canales tefónicos, virtuales y presenciales.

Prestamos servicios de: Adquisición y Ventas, Servicio al Cliente, Gestión de Cartera, Soporte Técnico, Gestión de Bases de datos, Cruce e inteligencia de Bases de Datos, Digitación, Tabulación y Solución PQR´s.",null,null,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Femtelco%2Ecom%2Eco%2F&urlhash=z7qs&trk=about_website,,,,,"35,882"
Lojas Torra,"Aqui nas Lojas Torra, acreditamos que poder é ser quem você é! Por isso, trabalhamos para democratizar a moda com preço baixo em todo o Brasil.

Nossa trajetória de sucesso, começou há 30 anos, priorizando produtos de qualidade e com valor acessível. Desde então, muita coisa evoluiu e, atualmente, já são mais de 80 lojas espalhadas por todo o país.

Para acompanhar todo esse crescimento também temos três centros de armazenamento e distribuição, a #MR3Log, e o #TorraCartão, uma administradora de cartões.

Somos mais de 5 mil Torralovers apaixonados por essa história e, mensalmente, 1 milhão de clientes comprovam que compromisso, responsabilidade e dinamismo são valores fundamentais para atingir resultados e vencer desafios.

Faça parte da nossa passarela de talentos! #VemSerTorra",São Paulo,Brasil,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Elojastorra%2Ecom%2Ebr&urlhash=QfzA&trk=about_website,Retail,"1,001-5,000 employees",null,Privately Held,null
Contempo Card Company,"Contempo is the world’s leading packaging company for the world of fashion.  Since 1979, Contempo has been perfecting the brand image of the most prominent brands in jewelry and accessories.  Today, Contempo actively produces packaging for over 1000 manufacturers and retailers worldwide.  In 2014, Contempo launched a strategy division that helps existing and up-and-coming brands refine how their packaging affects the overall customer experience.  Contempo is headquartered in Providence, RI, with a fully-owned manufacturing facility in Shenzhen, China, and a sales office in Bangkok, Thailand and Hong Kong.  Learn more at www.contempocard.com.","Providence, RI",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Econtempocard%2Ecom&urlhash=SAZZ&trk=about_website,Packaging and Containers Manufacturing,51-200 employees,"product packaging, jewelry packaging, fashion packaging, packaging strategy, brand strategy, and startups",Privately Held,988
Robert Bernard,null,null,null,null,null,null,null,null,988
Dialog Information Technology,"Dialog Information Technology is one of Australia's leading technology services organisations trading nationally from offices in Brisbane, Sydney, Melbourne, Canberra, Perth, Darwin and Adelaide,

Established in 1979, Dialog has delivered innovative solutions to clients across all industries including all levels of government.

Dialog employs over 1,200 information technology specialists.

Dialog’s subsidiary companies include ICEMEDIA, one of Australia’s leading and most innovative multimedia companies and AccessHQ, which employs over 300 professional testing specialists and serves major government and corporate clients in high value, long term business relationships. Catapult BI is Australia's leading business insights and data management consultancy.","South Brisbane, Queensland",Australia,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Edialog%2Ecom%2Eau&urlhash=tDf-&trk=about_website,IT Services and IT Consulting,"1,001-5,000 employees","Professional IT Services, Managed Application Services, Software Development & Testing, IT Consulting, Analysis & Design, and Project Management",Privately Held,"12,446"
